Gene,Category,sample_1,sample_2,value_1_Pro,value_2_Qui,FC
THAP6,QuiBYPro_FC_,Pro,Qui,0.00254597,0.0042184,1.656893051
KLHL32,QuiBYPro_FC_,Pro,Qui,0.000134517,0.000222877,1.656868649
GUCY1A1,QuiBYPro_FC_,Pro,Qui,1.12E-06,1.86E-06,1.656867985
AC022540.1,QuiBYPro_FC_,Pro,Qui,0.000106674,0.000176713,1.656570486
MFSD8,QuiBYPro_FC_,Pro,Qui,0.000346329,0.000573448,1.655789726
DCUN1D2,QuiBYPro_FC_,Pro,Qui,0.000118556,0.000196145,1.654450218
LRRIQ3,QuiBYPro_FC_,Pro,Qui,8.89E-07,1.47E-06,1.654019588
ACBD6,QuiBYPro_FC_,Pro,Qui,0.00865125,0.014309,1.653980639
METTL5,QuiBYPro_FC_,Pro,Qui,0.298666,0.493769,1.65324811
"AL928654.3,CRIP1",QuiBYPro_FC_,Pro,Qui,5.24E-06,8.67E-06,1.652473371
SH3TC1,QuiBYPro_FC_,Pro,Qui,0.00750292,0.01239,1.651357072
LETM1,QuiBYPro_FC_,Pro,Qui,4.24E-05,7.01E-05,1.650828209
ACSF3,QuiBYPro_FC_,Pro,Qui,0.0244371,0.0403406,1.650793261
AP1G1,QuiBYPro_FC_,Pro,Qui,0.00716041,0.0118176,1.650408287
IST1,QuiBYPro_FC_,Pro,Qui,0.000216495,0.000357022,1.649100441
ATP9B,QuiBYPro_FC_,Pro,Qui,0.00378081,0.0062324,1.648429834
ADAP1,QuiBYPro_FC_,Pro,Qui,0.000113379,0.000186877,1.648250558
C11orf49,QuiBYPro_FC_,Pro,Qui,0.000642929,0.00105911,1.647320311
CPB1,QuiBYPro_FC_,Pro,Qui,0.00261444,0.00430365,1.646107771
PLK4,QuiBYPro_FC_,Pro,Qui,0.000590867,0.000972018,1.645070718
UEVLD,QuiBYPro_FC_,Pro,Qui,0.0126752,0.0208457,1.644605213
CNKSR1,QuiBYPro_FC_,Pro,Qui,0.000343495,0.000564856,1.644437328
SH3BGR,QuiBYPro_FC_,Pro,Qui,0.000412008,0.000677505,1.644397682
PALM,QuiBYPro_FC_,Pro,Qui,2.24E-06,3.69E-06,1.643094371
SLC39A1,QuiBYPro_FC_,Pro,Qui,0.00463999,0.00761591,1.641363451
TRAPPC10,QuiBYPro_FC_,Pro,Qui,0.0311459,0.0511056,1.640845183
PAM,QuiBYPro_FC_,Pro,Qui,0.0665951,0.10926,1.64066125
CSNK1G2,QuiBYPro_FC_,Pro,Qui,0.00410669,0.00673675,1.640433049
RNF13,QuiBYPro_FC_,Pro,Qui,0.0680626,0.111634,1.640166553
LINC02086,QuiBYPro_FC_,Pro,Qui,1.65E-06,2.71E-06,1.640057633
HDAC11,QuiBYPro_FC_,Pro,Qui,0.000796704,0.00130569,1.638864622
AL050343.1,QuiBYPro_FC_,Pro,Qui,0.124405,0.203716,1.637522608
YPEL3,QuiBYPro_FC_,Pro,Qui,0.000190505,0.00031194,1.637437338
MUTYH,QuiBYPro_FC_,Pro,Qui,0.00159699,0.00261495,1.637424154
USP42,QuiBYPro_FC_,Pro,Qui,0.0186118,0.0304726,1.637273128
ATG4B,QuiBYPro_FC_,Pro,Qui,0.00029317,0.000479916,1.636988778
CEP70,QuiBYPro_FC_,Pro,Qui,9.50E-05,0.00015551,1.636158568
MSI2,QuiBYPro_FC_,Pro,Qui,0.0200942,0.0328697,1.635780474
SPOP,QuiBYPro_FC_,Pro,Qui,0.00457898,0.00748922,1.635565126
ST3GAL3,QuiBYPro_FC_,Pro,Qui,0.00207095,0.00338488,1.634457616
BPTF,QuiBYPro_FC_,Pro,Qui,6.90E-05,0.000112843,1.634290216
NOL4,QuiBYPro_FC_,Pro,Qui,3.92E-06,6.41E-06,1.633521185
SNHG15,QuiBYPro_FC_,Pro,Qui,9.53E-06,1.56E-05,1.632960971
NAT14,QuiBYPro_FC_,Pro,Qui,0.0378957,0.0618671,1.632562533
SVIL,QuiBYPro_FC_,Pro,Qui,0.056754,0.0926163,1.631890263
UBE2H,QuiBYPro_FC_,Pro,Qui,0.580396,0.947033,1.631701459
