"GeneHu","Category"
"ANXA4","PSVZbyQSVZ_Morizur_FC5_"
"ANXA6","QSVZbyPSVZ_Morizur_FC5_"
"ANXA9","PSVZbyQSVZ_Morizur_FC5_"
"AOX1","QSVZbyPSVZ_Morizur_FC5_"
"AP1G1","PSVZbyQSVZ_Morizur_FC5_"
"AP1S1","PSVZbyQSVZ_Morizur_FC5_"
"AP2A2","PSVZbyQSVZ_Morizur_FC5_"
"AP2B1","PSVZbyQSVZ_Morizur_FC5_"
"AP2S1","PSVZbyQSVZ_Morizur_FC5_"
"AP3M2","QSVZbyPSVZ_Morizur_FC5_"
"AP3S2","PSVZbyQSVZ_Morizur_FC5_"
"AP5B1","PSVZbyQSVZ_Morizur_FC5_"
"AP5M1","PSVZbyQSVZ_Morizur_FC5_"
"APAF1","PSVZbyQSVZ_Morizur_FC5_"
"APBA3","PSVZbyQSVZ_Morizur_FC5_"
"APEX1","PSVZbyQSVZ_Morizur_FC5_"
"API5","PSVZbyQSVZ_Morizur_FC5_"
"APIP","PSVZbyQSVZ_Morizur_FC5_"
"APLF","PSVZbyQSVZ_Morizur_FC5_"
"APLN","QSVZbyPSVZ_Morizur_FC5_"
"APLP1","QSVZbyPSVZ_Morizur_FC5_"
"APOBEC3H","PSVZbyQSVZ_Morizur_FC5_"
"APOC1","QSVZbyPSVZ_Morizur_FC5_"
"APOC3","QSVZbyPSVZ_Morizur_FC5_"
"APOD","QSVZbyPSVZ_Morizur_FC5_"
"APOE","QSVZbyPSVZ_Morizur_FC5_"
"APOOL","PSVZbyQSVZ_Morizur_FC5_"
"APP","QSVZbyPSVZ_Morizur_FC5_"
"APPL1","PSVZbyQSVZ_Morizur_FC5_"
"APPL2","QSVZbyPSVZ_Morizur_FC5_"
"AQP11","QSVZbyPSVZ_Morizur_FC5_"
"AQP4","QSVZbyPSVZ_Morizur_FC5_"
"ARAF","PSVZbyQSVZ_Morizur_FC5_"
"ARAP2","QSVZbyPSVZ_Morizur_FC5_"
"ARAP3","PSVZbyQSVZ_Morizur_FC5_"
"AREL1","PSVZbyQSVZ_Morizur_FC5_"
"ARL17B","PSVZbyQSVZ_Morizur_FC5_"
"ARL17A","PSVZbyQSVZ_Morizur_FC5_"
"ARF4","PSVZbyQSVZ_Morizur_FC5_"
"ARFGEF1","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP11B","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP11A","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP17","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP19-SLIT1","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP19","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP21","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP24","QSVZbyPSVZ_Morizur_FC5_"
"ARHGAP25","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP27","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP32","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP33","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP35","PSVZbyQSVZ_Morizur_FC5_"
"ARHGAP39","PSVZbyQSVZ_Morizur_FC5_"
"ARHGDIA","PSVZbyQSVZ_Morizur_FC5_"
"ARHGDIB","QSVZbyPSVZ_Morizur_FC5_"
"ARHGEF18","QSVZbyPSVZ_Morizur_FC5_"
"ARHGEF2","PSVZbyQSVZ_Morizur_FC5_"
"ARHGEF26","QSVZbyPSVZ_Morizur_FC5_"
"ARHGEF39","PSVZbyQSVZ_Morizur_FC5_"
"ARHGEF4","QSVZbyPSVZ_Morizur_FC5_"
"SMIM39","QSVZbyPSVZ_Morizur_FC5_"
"ARID1A","PSVZbyQSVZ_Morizur_FC5_"
"ARID1B","PSVZbyQSVZ_Morizur_FC5_"
"ARID2","PSVZbyQSVZ_Morizur_FC5_"
"ARID4A","PSVZbyQSVZ_Morizur_FC5_"
"ARID4B","PSVZbyQSVZ_Morizur_FC5_"
"ARID5B","PSVZbyQSVZ_Morizur_FC5_"
"ARIH1","PSVZbyQSVZ_Morizur_FC5_"
"ARL10","PSVZbyQSVZ_Morizur_FC5_"
"ARL2-SNX15","PSVZbyQSVZ_Morizur_FC5_"
"ARL2","PSVZbyQSVZ_Morizur_FC5_"
"ARL2BP","PSVZbyQSVZ_Morizur_FC5_"
"ARL3","PSVZbyQSVZ_Morizur_FC5_"
"ARL4C","PSVZbyQSVZ_Morizur_FC5_"
"ARL4D","PSVZbyQSVZ_Morizur_FC5_"
"ARL5A","PSVZbyQSVZ_Morizur_FC5_"
"ARL5B","PSVZbyQSVZ_Morizur_FC5_"
"ARL6","PSVZbyQSVZ_Morizur_FC5_"
"ARL6IP4","PSVZbyQSVZ_Morizur_FC5_"
"ARL6IP6","PSVZbyQSVZ_Morizur_FC5_"
"ARMC10","PSVZbyQSVZ_Morizur_FC5_"
"ARMC8","PSVZbyQSVZ_Morizur_FC5_"
"ARMCX4","PSVZbyQSVZ_Morizur_FC5_"
"ARMCX5","PSVZbyQSVZ_Morizur_FC5_"
"ARMCX6","PSVZbyQSVZ_Morizur_FC5_"
"ARNT","PSVZbyQSVZ_Morizur_FC5_"
"ARPC1B","PSVZbyQSVZ_Morizur_FC5_"
"ARPC2","PSVZbyQSVZ_Morizur_FC5_"
"ARPC3","PSVZbyQSVZ_Morizur_FC5_"
"ARPC4","PSVZbyQSVZ_Morizur_FC5_"
"ARPC5","QSVZbyPSVZ_Morizur_FC5_"
"ARPC5L","PSVZbyQSVZ_Morizur_FC5_"
"ARPP19","PSVZbyQSVZ_Morizur_FC5_"
"ARRB2","PSVZbyQSVZ_Morizur_FC5_"
"ARRDC3","PSVZbyQSVZ_Morizur_FC5_"
"ARSA","QSVZbyPSVZ_Morizur_FC5_"
"ARSK","QSVZbyPSVZ_Morizur_FC5_"
"ARVCF","PSVZbyQSVZ_Morizur_FC5_"
"ARX","PSVZbyQSVZ_Morizur_FC5_"
"ASAH1","QSVZbyPSVZ_Morizur_FC5_"
"ASAP1","PSVZbyQSVZ_Morizur_FC5_"
"ASAP2","QSVZbyPSVZ_Morizur_FC5_"
"ASB13","QSVZbyPSVZ_Morizur_FC5_"
"ASB8","PSVZbyQSVZ_Morizur_FC5_"
"ASCC1","PSVZbyQSVZ_Morizur_FC5_"
"ASCC2","PSVZbyQSVZ_Morizur_FC5_"
"ASCL1","PSVZbyQSVZ_Morizur_FC5_"
"ASF1A","PSVZbyQSVZ_Morizur_FC5_"
"ASF1B","PSVZbyQSVZ_Morizur_FC5_"
"ASH2L","PSVZbyQSVZ_Morizur_FC5_"
"ASNA1","PSVZbyQSVZ_Morizur_FC5_"
"ASNS","PSVZbyQSVZ_Morizur_FC5_"
"ASNSD1","PSVZbyQSVZ_Morizur_FC5_"
"ASPA","QSVZbyPSVZ_Morizur_FC5_"
"ASPHD1","QSVZbyPSVZ_Morizur_FC5_"
"ASPHD2","QSVZbyPSVZ_Morizur_FC5_"
"ASPM","PSVZbyQSVZ_Morizur_FC5_"
"ASPN","QSVZbyPSVZ_Morizur_FC5_"
"ASS1","QSVZbyPSVZ_Morizur_FC5_"
"ASTE1","PSVZbyQSVZ_Morizur_FC5_"
"ASTN2","QSVZbyPSVZ_Morizur_FC5_"
"ASXL1","PSVZbyQSVZ_Morizur_FC5_"
"ASXL2","PSVZbyQSVZ_Morizur_FC5_"
"ATAD3A","PSVZbyQSVZ_Morizur_FC5_"
"ATAD5","PSVZbyQSVZ_Morizur_FC5_"
"ATF1","PSVZbyQSVZ_Morizur_FC5_"
"ATF2","PSVZbyQSVZ_Morizur_FC5_"
"ATF3","PSVZbyQSVZ_Morizur_FC5_"
"ATF4","PSVZbyQSVZ_Morizur_FC5_"
"ATF5","PSVZbyQSVZ_Morizur_FC5_"
"ATF6","PSVZbyQSVZ_Morizur_FC5_"
"ATG10","PSVZbyQSVZ_Morizur_FC5_"
"ATG101","QSVZbyPSVZ_Morizur_FC5_"
