Gene,Category,sample_1,sample_2,value_1_npc,value_2_nsc,FC5
Gm17530,nscBYnpc_FC5_,npc,nsc,1.43051,78.7286,55.03533705
Gm45121,nscBYnpc_FC5_,npc,nsc,0.00830244,0.449843,54.1820236
AC131586.1,nscBYnpc_FC5_,npc,nsc,0.00398238,0.211975,53.22822031
Dnajc22,nscBYnpc_FC5_,npc,nsc,0.00505924,0.267657,52.90458646
Tmprss3,nscBYnpc_FC5_,npc,nsc,0.00434947,0.226664,52.11301607
Ifi202b,nscBYnpc_FC5_,npc,nsc,0.235108,12.1015,51.47208942
Fut4,nscBYnpc_FC5_,npc,nsc,0.00638735,0.328327,51.40269439
Dnase1l3,nscBYnpc_FC5_,npc,nsc,0.207296,10.6427,51.34059509
Gm5544,nscBYnpc_FC5_,npc,nsc,0.0100469,0.515447,51.30408385
2210406H18Rik,nscBYnpc_FC5_,npc,nsc,0.0348709,1.75198,50.24189224
Gm44876,nscBYnpc_FC5_,npc,nsc,0.0148572,0.737893,49.66568398
4930471M09Rik,nscBYnpc_FC5_,npc,nsc,0.00867913,0.428809,49.4069106
Gm11707,nscBYnpc_FC5_,npc,nsc,0.0351265,1.72483,49.10338349
Gm45793,nscBYnpc_FC5_,npc,nsc,0.00872764,0.423286,48.49947981
Gm26522,nscBYnpc_FC5_,npc,nsc,0.41568,19.8108,47.65877598
Gm12246,nscBYnpc_FC5_,npc,nsc,0.0232948,1.08433,46.54815667
Gm43127,nscBYnpc_FC5_,npc,nsc,0.00383402,0.177407,46.27179827
Tnfsf18,nscBYnpc_FC5_,npc,nsc,0.0437705,2.01929,46.13358312
Batf,nscBYnpc_FC5_,npc,nsc,0.178636,8.17941,45.78813901
Pla2g2d,nscBYnpc_FC5_,npc,nsc,2.71842,123.614,45.47273784
Gm46224,nscBYnpc_FC5_,npc,nsc,0.0151752,0.689341,45.42549686
Gm11549,nscBYnpc_FC5_,npc,nsc,0.00598551,0.26843,44.84663796
Adamts8,nscBYnpc_FC5_,npc,nsc,0.00232719,0.10382,44.61174206
Gm12708,nscBYnpc_FC5_,npc,nsc,0.0484692,2.15482,44.45751116
Ptafr,nscBYnpc_FC5_,npc,nsc,1.3918,61.3184,44.05690473
A930006L05Rik,nscBYnpc_FC5_,npc,nsc,0.00379703,0.165566,43.60408003
Atp6v0d2,nscBYnpc_FC5_,npc,nsc,0.00470857,0.203719,43.26557745
Cd36,nscBYnpc_FC5_,npc,nsc,1.55422,66.8081,42.98496995
Gm44545,nscBYnpc_FC5_,npc,nsc,0.137109,5.86368,42.76655799
Cd209f,nscBYnpc_FC5_,npc,nsc,26.4189,1119.31,42.36777459
Cd209g,nscBYnpc_FC5_,npc,nsc,6.23647,261.17,41.87785719
Acp5,nscBYnpc_FC5_,npc,nsc,0.218778,9.11088,41.64440666
Ccno,nscBYnpc_FC5_,npc,nsc,0.0101351,0.414624,40.90970982
Cd209b,nscBYnpc_FC5_,npc,nsc,5.7244,233.256,40.74767661
Gm11634,nscBYnpc_FC5_,npc,nsc,0.0180985,0.737367,40.74188469
Gm13966,nscBYnpc_FC5_,npc,nsc,0.0235731,0.95944,40.70062911
Arl11,nscBYnpc_FC5_,npc,nsc,0.188324,7.57423,40.2191436
Gm32369,nscBYnpc_FC5_,npc,nsc,0.00623122,0.248036,39.80536717
Il21r,nscBYnpc_FC5_,npc,nsc,0.266751,10.5908,39.70294394
Ugt1a8,nscBYnpc_FC5_,npc,nsc,0.0904293,3.58473,39.6412446
Cybb,nscBYnpc_FC5_,npc,nsc,1.58873,62.6838,39.45528819
Osm,nscBYnpc_FC5_,npc,nsc,0.137724,5.40587,39.25147396
Gna14,nscBYnpc_FC5_,npc,nsc,0.053853,2.11079,39.1954023
Nxpe5,nscBYnpc_FC5_,npc,nsc,0.0327545,1.28301,39.17049566
Gpr165,nscBYnpc_FC5_,npc,nsc,0.192136,7.49476,39.00757797
Tlr13,nscBYnpc_FC5_,npc,nsc,0.502458,19.2457,38.30310195
Gm47593,nscBYnpc_FC5_,npc,nsc,0.0192239,0.736147,38.29332237
Cd101,nscBYnpc_FC5_,npc,nsc,0.00260018,0.0980642,37.714389
Mrc1,nscBYnpc_FC5_,npc,nsc,7.63245,283.649,37.16355823
Gm48495,nscBYnpc_FC5_,npc,nsc,0.0151518,0.562598,37.13076994
