PSID Gene Module kTotal kWithin kOut kDiff rank
CHD8 CHD8 HuAgeMSNDsplitRnaseq_01 29.2151004423247 14.8600345597259 14.3550658825988 0.504968677127064 137
DUSP3 DUSP3 HuAgeMSNDsplitRnaseq_01 33.0032147323465 14.8407080573604 18.1625066749861 -3.32179861762564 138
ARFIP2 ARFIP2 HuAgeMSNDsplitRnaseq_01 31.708859591576 14.821662031452 16.887197560124 -2.06553552867205 139
C6orf106 C6orf106 HuAgeMSNDsplitRnaseq_01 31.0820924616464 14.7693219688486 16.3127704927978 -1.54344852394924 140
LARP1 LARP1 HuAgeMSNDsplitRnaseq_01 30.1402849153828 14.6949056940888 15.445379221294 -0.750473527205262 141
SMU1 SMU1 HuAgeMSNDsplitRnaseq_01 29.4716355608046 14.6856100577864 14.7860255030182 -0.100415445231846 142
METTL13 METTL13 HuAgeMSNDsplitRnaseq_01 29.3032289334071 14.6460651074572 14.6571638259499 -0.0110987184927325 143
ARIH1 ARIH1 HuAgeMSNDsplitRnaseq_01 34.5231211345678 14.5877978400969 19.9353232944709 -5.34752545437398 144
IPO7 IPO7 HuAgeMSNDsplitRnaseq_01 31.9526234460322 14.5530688077812 17.399554638251 -2.84648583046986 145
NAA50 NAA50 HuAgeMSNDsplitRnaseq_01 28.7414193705014 14.5442664854613 14.19715288504 0.347113600421316 146
MRPS23 MRPS23 HuAgeMSNDsplitRnaseq_01 28.0228765413227 14.4764797171921 13.5463968241306 0.930082893061432 147
CKAP5 CKAP5 HuAgeMSNDsplitRnaseq_01 33.4397724194575 14.4639597117552 18.9758127077023 -4.51185299594718 148
CLPB CLPB HuAgeMSNDsplitRnaseq_01 27.5353339368678 14.4370793166792 13.0982546201886 1.33882469649066 149
CUEDC2 CUEDC2 HuAgeMSNDsplitRnaseq_01 33.4044548930079 14.3996214563691 19.0048334366388 -4.6052119802697 150
CCDC136 CCDC136 HuAgeMSNDsplitRnaseq_01 29.5316966079745 14.3584618789378 15.1732347290367 -0.814772850098848 151
ANKRD52 ANKRD52 HuAgeMSNDsplitRnaseq_01 31.5448194510596 14.3474462470637 17.1973732039959 -2.84992695693218 152
COASY COASY HuAgeMSNDsplitRnaseq_01 29.0506954716617 14.3453708586949 14.7053246129668 -0.359953754271938 153
MADD MADD HuAgeMSNDsplitRnaseq_01 29.9474300475436 14.3213386948992 15.6260913526445 -1.30475265774532 154
CIZ1 CIZ1 HuAgeMSNDsplitRnaseq_01 30.7050321225624 14.2644237560734 16.4406083664891 -2.17618461041569 155
TXNL1 TXNL1 HuAgeMSNDsplitRnaseq_01 30.6032880558835 14.2311257067009 16.3721623491826 -2.14103664248169 156
GOT2 GOT2 HuAgeMSNDsplitRnaseq_01 28.7804249257287 14.1543126188031 14.6261123069256 -0.471799688122513 157
FAM50A FAM50A HuAgeMSNDsplitRnaseq_01 31.558095582539 14.1300854594398 17.4280101230992 -3.29792466365943 158
WBP11 WBP11 HuAgeMSNDsplitRnaseq_01 27.9665306341259 14.0590283118482 13.9075023222778 0.151525989570402 159
FAM192A FAM192A HuAgeMSNDsplitRnaseq_01 32.2423628935664 14.0543623188874 18.188000574679 -4.13363825579155 160
GNL3 GNL3 HuAgeMSNDsplitRnaseq_01 29.1761494270275 14.0021628629362 15.1739865640914 -1.17182370115518 161
DYNC1LI1 DYNC1LI1 HuAgeMSNDsplitRnaseq_01 30.1154988229633 13.9849685772988 16.1305302456645 -2.14556166836568 162
TIMM17A TIMM17A HuAgeMSNDsplitRnaseq_01 27.6098527850491 13.9689705523411 13.640882232708 0.328088319633064 163
OTUD5 OTUD5 HuAgeMSNDsplitRnaseq_01 32.3301185131931 13.9574636443522 18.3726548688409 -4.41519122448869 164
MRFAP1 MRFAP1 HuAgeMSNDsplitRnaseq_01 32.8191450588468 13.9386813273458 18.880463731501 -4.94178240415524 165
LONP1 LONP1 HuAgeMSNDsplitRnaseq_01 27.1419857425338 13.8274703290817 13.3145154134521 0.512954915629564 166
HNRNPA0 HNRNPA0 HuAgeMSNDsplitRnaseq_01 29.2154340385809 13.8263667194927 15.3890673190883 -1.56270059959561 167
XAB2 XAB2 HuAgeMSNDsplitRnaseq_01 27.371803364112 13.8117977274829 13.5600056366291 0.251792090853755 168
DNAJC8 DNAJC8 HuAgeMSNDsplitRnaseq_01 29.8622692964226 13.8110444100025 16.0512248864201 -2.24018047641767 169
AP1G1 AP1G1 HuAgeMSNDsplitRnaseq_01 29.0556056574679 13.8084414751984 15.2471641822694 -1.43872270707099 170
ZNF48 ZNF48 HuAgeMSNDsplitRnaseq_01 27.0108408309624 13.8032002673396 13.2076405636228 0.59555970371688 171
NOC2L NOC2L HuAgeMSNDsplitRnaseq_01 30.3979266447165 13.7695619671868 16.6283646775296 -2.85880271034281 172
VARS VARS HuAgeMSNDsplitRnaseq_01 27.3264881222002 13.7406573971336 13.5858307250665 0.154826672067067 173
MRPS18B MRPS18B HuAgeMSNDsplitRnaseq_01 29.3862933341752 13.6983162413577 15.6879770928176 -1.98966085145987 174
NARS NARS HuAgeMSNDsplitRnaseq_01 28.4783795814288 13.6830614926235 14.7953180888053 -1.11225659618179 175
ADRM1 ADRM1 HuAgeMSNDsplitRnaseq_01 32.9312171767454 13.6762341897357 19.2549829870097 -5.57874879727399 176
MGAT5 MGAT5 HuAgeMSNDsplitRnaseq_01 31.3210266480431 13.6593353930679 17.6616912549752 -4.00235586190729 177
DDX3X DDX3X HuAgeMSNDsplitRnaseq_01 27.84341076616 13.6153615124531 14.2280492537069 -0.612687741253804 178
SLC25A4 SLC25A4 HuAgeMSNDsplitRnaseq_01 35.6163064649702 13.60791938781 22.0083870771603 -8.40046768935031 179
SCYL1 SCYL1 HuAgeMSNDsplitRnaseq_01 29.5058482198878 13.5922461727522 15.9136020471356 -2.32135587438335 180
CAMTA2 CAMTA2 HuAgeMSNDsplitRnaseq_01 31.7231048222873 13.5275814458082 18.1955233764791 -4.66794193067089 181
TRIP12 TRIP12 HuAgeMSNDsplitRnaseq_01 30.0799735075595 13.5263631217311 16.5536103858284 -3.02724726409731 182
HDGF HDGF HuAgeMSNDsplitRnaseq_01 28.6584779837939 13.4742787162103 15.1841992675836 -1.70992055137333 183
MMADHC MMADHC HuAgeMSNDsplitRnaseq_01 28.4513689601431 13.4602662503296 14.9911027098135 -1.53083645948394 184
CEP63 CEP63 HuAgeMSNDsplitRnaseq_01 29.4059215515755 13.4370409391728 15.9688806124028 -2.53183967323002 185
PHF3 PHF3 HuAgeMSNDsplitRnaseq_01 33.8314505066292 13.4329032221574 20.3985472844718 -6.96564406231439 186
EFTUD2 EFTUD2 HuAgeMSNDsplitRnaseq_01 30.5693549992602 13.4328808399717 17.1364741592885 -3.70359331931679 187
KARS KARS HuAgeMSNDsplitRnaseq_01 30.8719986247097 13.4016792485543 17.4703193761554 -4.06864012760114 188
ABCF3 ABCF3 HuAgeMSNDsplitRnaseq_01 30.0362748712169 13.3710957230117 16.6651791482053 -3.29408342519361 189
PSMB5 PSMB5 HuAgeMSNDsplitRnaseq_01 30.8362668113264 13.3487053985059 17.4875614128206 -4.13885601431468 190
ZNF329 ZNF329 HuAgeMSNDsplitRnaseq_01 26.1979906197971 13.3436427808195 12.8543478389776 0.489294941841823 191
DCTN1 DCTN1 HuAgeMSNDsplitRnaseq_01 31.8701134544995 13.3215442484912 18.5485692060082 -5.22702495751699 192
ABCA3 ABCA3 HuAgeMSNDsplitRnaseq_01 26.1255563505203 13.3184324201393 12.8071239303809 0.511308489758374 193
RUBCN RUBCN HuAgeMSNDsplitRnaseq_01 26.7083864346985 13.3084831596774 13.3999032750211 -0.0914201153436309 194
KIAA1143 KIAA1143 HuAgeMSNDsplitRnaseq_01 28.8974540375053 13.2960961386979 15.6013578988074 -2.3052617601095 195
SOCS7 SOCS7 HuAgeMSNDsplitRnaseq_01 31.8441142022664 13.2881754737693 18.5559387284971 -5.26776325472775 196
AL035071.2 AL035071.2 HuAgeMSNDsplitRnaseq_01 31.0245276894838 13.2740435121013 17.7504841773824 -4.4764406652811 197
NDUFS2 NDUFS2 HuAgeMSNDsplitRnaseq_01 26.706029681551 13.2662393154054 13.4397903661456 -0.173551050740151 198
IPO9 IPO9 HuAgeMSNDsplitRnaseq_01 28.7794735850771 13.237541094692 15.5419324903851 -2.30439139569318 199
TBC1D25 TBC1D25 HuAgeMSNDsplitRnaseq_01 27.304013500132 13.2286704908042 14.0753430093278 -0.846672518523544 200
GPKOW GPKOW HuAgeMSNDsplitRnaseq_01 26.0664960390864 13.2258969212013 12.8405991178851 0.385297803316291 201
HNRNPAB HNRNPAB HuAgeMSNDsplitRnaseq_01 27.5958455361539 13.193789070431 14.4020564657229 -1.20826739529184 202
BAG1 BAG1 HuAgeMSNDsplitRnaseq_01 30.5504872059408 13.1665401650088 17.383947040932 -4.21740687592326 203
RMND5B RMND5B HuAgeMSNDsplitRnaseq_01 28.3083575999489 13.1596205899812 15.1487370099677 -1.98911641998648 204
GPATCH4 GPATCH4 HuAgeMSNDsplitRnaseq_01 30.1063090069873 13.153824857373 16.9524841496143 -3.79865929224133 205
TBRG4 TBRG4 HuAgeMSNDsplitRnaseq_01 28.443959360077 13.1318596745454 15.3120996855316 -2.18024001098618 206
C1QBP C1QBP HuAgeMSNDsplitRnaseq_01 28.8348487881529 13.0982258079359 15.736622980217 -2.6383971722811 207
DCAF1 DCAF1 HuAgeMSNDsplitRnaseq_01 27.9085194536502 13.0964899243074 14.8120295293428 -1.71553960503537 208
DDX54 DDX54 HuAgeMSNDsplitRnaseq_01 27.1450292724457 13.0905078778462 14.0545213945995 -0.964013516753258 209
EIF5B EIF5B HuAgeMSNDsplitRnaseq_01 26.8060515051413 13.0794308932945 13.7266206118468 -0.647189718552312 210
AL606491.1 AL606491.1 HuAgeMSNDsplitRnaseq_01 26.3931910663073 13.0731990005508 13.3199920657565 -0.246793065205754 211
PSMA4 PSMA4 HuAgeMSNDsplitRnaseq_01 26.0833896509128 13.0385829515268 13.044806699386 -0.00622374785927349 212
