GSM509547	GSM509548	GSM509549	GSM509550	GSM509551	GSM509552	GSM509553	GSM509554	GSM509555	GSM509556	GSM509557	GSM509558
206021_at	16.8	3.6	10.2	5	5.1	20	4.1	6.9	3.2	97.2	24.5	5.6
206022_at	132.6	141.7	108.8	102.2	162.7	116.1	124.5	120	143.8	90.1	78.8	141.4
206023_at	1.4	17.9	27.9	3.9	5.5	1.5	1	2.1	7	97.8	37.5	1.6
206024_at	1.7	4.7	2.3	3.1	3.4	2.5	1.9	4.2	1.8	12.1	10.1	7.8
206026_s_at	53.2	64.3	93.2	69.8	56	59	63.1	54.9	34.1	85.4	125.7	34.1
206027_at	75	30.5	30.8	19.5	57.8	80.7	29.7	28.6	28.5	33.2	108.6	6
206028_s_at	78.6	38.6	61.4	74.6	43.7	58.7	51.6	79.5	76.1	18.1	134.5	85.6
206029_at	22.7	11.1	2.5	24.9	18.8	13.2	12.1	35.2	15.3	66.8	67.1	31
206030_at	252.1	277.3	444.7	488.9	401.2	281.1	158.8	195	294.9	205.6	116.5	250.9
206031_s_at	35.2	89.3	44.6	90	132.8	80.6	68.1	85.2	100.1	104.6	152.8	148.3
206032_at	22.4	27.8	22	40.1	13.6	23.4	27.7	40.9	24.8	74.2	77.7	39.3
206034_at	60.6	29.9	22.5	40.9	66.9	31.9	44.3	43.8	26.6	241.4	153	31.5
206035_at	20.3	37.2	32	22.9	98.7	27.3	38.5	26.3	18.2	101.1	99.2	31.9
206037_at	113.7	140.4	102.6	142.9	123.2	144.3	161.1	139.4	147.3	294	229.6	108.4
206038_s_at	23.6	24.1	13.1	26.3	24	28.8	14.2	3.4	21.6	25.2	57	12.3
206039_at	98.2	145.2	160.7	154.4	165.9	112.2	63	174.5	97	93.5	63.3	112.6
206042_x_at	278	456.2	303.2	246.9	154.7	165	192.9	237.6	248.2	143.7	166.7	235.1
206044_s_at	72.3	20.9	26.3	74.1	46.6	58.5	44.2	36.8	53.9	136.5	69.4	38.1
206045_s_at	61.4	36	40.3	27.8	20.5	32	35.4	51.1	26.1	105.6	13.7	61.8
206046_at	62.2	93.4	93.5	111	50.2	92.6	68.9	83	85.3	87.6	163.7	147.6
206047_at	69.3	62.7	44.1	75.8	79.5	74.2	40.2	72.2	85.8	50.5	137.4	98.7
206048_at	5.9	3.6	6.6	47.9	21.5	3.5	5.2	1.9	17.4	57.2	7.6	9.2
206049_at	111.4	76.4	52.9	100.7	90.6	42.7	42.3	80.9	45	136.1	202.5	104.7
206050_s_at	565.6	351.3	192.9	367.4	497.1	361.6	297.3	311.6	271.3	187.3	189.8	316.7
206051_at	380.2	480.6	516.9	257.6	155.6	154.8	186.3	413.8	254.7	247.6	108.1	172.7
206052_s_at	123.3	130.4	171.4	107.1	66	127.5	106.5	126	109	32.7	13.2	95.5
206054_at	3.8	2.3	2.9	4.5	14.6	4.1	19.6	8.9	4.9	13.4	8.6	5.9
206055_s_at	48.2	88.2	115.1	71.7	108	166.2	128.4	63.8	97.3	115.5	51.2	77
206058_at	117	179	101.1	176	125.7	110.8	125.4	162.4	119.9	204.7	183.6	245.8
206059_at	529.6	570.2	270.9	378.3	402.1	391.9	345.6	158.3	362.8	212.5	337.3	547.4
206060_s_at	4.5	3.1	3.5	1.5	3.9	1.4	3.3	3.5	24.1	6.2	15.1	6.6
206064_s_at	9.6	11.1	2.2	45	8.9	3.4	11.6	26.6	43.1	11.7	33	19.3
206065_s_at	4.8	45.7	41.6	39.8	4.4	25.6	7.5	31.3	3.1	7.6	31	9.1
206066_s_at	58.7	30.5	48	65	44.2	39.5	12	28.9	65.7	5.1	7.4	5.7
206067_s_at	2.5	3.4	0.7	1.6	2.7	4.1	15.7	4	2.2	6.1	7.3	12
206068_s_at	37.1	12.2	26.7	24.3	37.9	8.1	33.2	27.2	10.3	177.9	13	52.9
206070_s_at	31.9	22.2	17.5	7.9	19.7	7.6	8.3	44.5	28.6	9.6	8	16.5
206072_at	4.3	23.1	2.4	5.7	32.1	16.9	10.3	4.1	19.7	11.4	10.9	7.3
206073_at	6.7	19.5	4	20.1	5.7	2.6	15.5	2	2.3	28	10.4	5.2
206074_s_at	83.5	70.4	71.5	20	6.6	94.4	89.2	58.2	56.3	13.2	58.6	67.2
206077_at	41.4	6.5	23.6	11.2	12.8	7.7	20.2	6.5	19.4	40.8	19.7	15.2
206078_at	67	61.4	40.8	34.1	47.1	52.8	40.8	60.6	52.2	105.1	176.6	55.5
206079_at	5.4	5	5.1	4.4	40.9	47.7	8.9	32.8	4.7	12.7	16.5	41.6
206081_at	12	8.8	1.2	22.2	28.4	24.2	21.3	22.9	29.9	47.4	8.2	32.8
206082_at	48.1	4	3.8	3.5	4.8	5.5	58.7	28.4	4.2	25.8	116.5	20.9
206083_at	15.2	24.1	10.5	10.5	20.5	6.2	9	25.2	8.2	142.9	29.4	18.7
206089_at	9.3	6.6	28	16.6	12.8	10.6	32.4	6.7	17.3	50.5	88.8	15.2
206090_s_at	76.7	84.9	45.1	82.1	67	73.6	54.8	42.3	44.4	60.7	109.9	72
206091_at	0.8	5.6	14.6	16.6	17.5	13.7	1.5	13.2	8.5	51.7	2.9	2.2
206092_x_at	40.9	48.3	44.1	12.6	56.2	74.3	68.1	63	43.7	158.9	139.9	90.3
206094_x_at	36.9	44.7	27.9	61.6	45.6	52.3	49.5	37.8	72.9	258.8	17.5	32.3
206095_s_at	72.8	74.7	62.6	77.8	73.1	49.5	86.9	86.4	83.9	57.7	27.3	56.1
206096_at	64.7	69.8	59.5	76.1	97.5	71.1	63.4	72.2	59.7	115.3	151.2	99.6
206097_at	14.8	72.8	39.9	52.5	108.4	49.4	41.1	66.7	59.5	276.7	96.6	157
206098_at	0.7	1.2	6.4	14	18.1	12.1	14.1	12.9	12.8	11.7	3.2	6.1
206099_at	52	64.2	19.6	37.7	24.5	15.9	39.6	36.8	27.8	105.5	50.4	58.7
206100_at	45.3	55.1	29	74.4	53	69.9	53.4	32.5	26.7	76.4	71.1	48.6
206101_at	56.6	34.2	24.9	64	64.5	113	47.2	88.1	63.8	118.3	105.7	49.3
206103_at	6.7	12.3	15.1	6.9	8.1	25.5	4.3	2.8	18.5	17.4	13.7	3.2
206104_at	32.4	5.7	22.1	14.1	41.7	28.1	6.1	2.9	5.1	65	48.1	5
206105_at	107.2	105.6	206.5	89.6	67.7	86.8	107.7	144.1	132.1	260.4	153.2	107.5
206106_at	70.1	71.9	31.6	65.4	92.7	102.3	66.2	29.2	52.6	173.6	192.5	45.2
206107_at	37.5	35.6	15	20.8	12.4	10	6.8	4.8	17.3	74.1	12.5	22.4
206109_at	71.7	37.6	37.2	79.6	59.6	46.7	30.6	29.9	17.5	189.4	120.7	68.9
206110_at	2.9	3.1	1.7	1.8	2.8	1.8	5.2	9.4	3.1	10	6.4	7.7
206111_at	114.2	28.1	27.6	35.9	64.8	121.1	114.4	47.9	23.2	90.9	114	92.8
206112_at	3	0.8	2	0.7	0.8	16.7	0.7	0.6	1.2	20.2	5.1	0.9
206114_at	85.2	91.5	7.4	66.9	108.2	38.5	94.4	90.1	11.7	201.9	158.9	63.8
206115_at	21.5	15.8	49.2	31.8	86.2	32.2	27.7	20.1	36.7	111.8	68.3	32.5
206118_at	96.3	103.7	125.9	74.7	81.2	64.4	79.9	114.7	72.5	232.8	220.7	102.9
206119_at	13.3	48.6	7	36.3	10.2	27.1	9.4	35.4	24.3	35.1	76.8	18.1
206120_at	8.9	7	6.4	9.3	8.1	12.3	5.6	3.1	64.8	12.7	14.4	9.9
206121_at	3.1	18	20.7	15.9	19.6	11.2	16.6	34.1	2.2	112.6	47.6	24.3
206122_at	49.6	28.2	33.8	30.1	57.2	72.4	64.1	64	81.7	21	10.3	21.2
206123_at	13.5	34.1	21.1	11.5	28.5	12.8	23.7	11.6	13.7	28.9	33.1	14.4
206125_s_at	54.7	15.4	12.4	14.6	43	12.5	10	37.2	8.5	61	114.8	66.1
206126_at	4.4	22.2	2.4	7.2	30.6	16.1	6.1	3.3	20.6	100.8	54.6	21.1
206127_at	29.2	17	17.4	6.3	47.4	8.1	25.9	3	32.7	21.1	27.5	25.4
206128_at	29.8	50.5	5.6	30.8	52.2	28.1	45	17.8	25.6	11.5	92.5	8.7
206129_s_at	42.1	41.3	24.5	11.5	25.6	33.2	35.5	24.9	27.6	103.9	68.1	20.3
206130_s_at	4.5	3.4	4.2	4.3	6	8.2	6.9	5.7	27.7	115.5	17.9	5.5
206131_at	17.9	15.5	25.8	57.6	33.4	34.5	36.1	19	16.9	88.1	59.1	5.7
206132_at	108.8	104.2	99.5	130.2	64.7	115.5	82.7	77.1	68.7	77.8	185.4	68.1
206133_at	27.1	21	34.4	15.3	39	43.9	25.8	30.4	23.2	149.6	58.2	98.4
206134_at	18.1	6.1	8.2	4.3	19.5	18.4	23.2	14.4	14.7	85.4	105.2	1.2
206136_at	5.4	4.5	2.4	3.6	4.8	3.1	2.5	2.2	3	7.7	11.4	6
206139_at	101.6	66.5	58.6	83.5	69.9	75.2	84.9	88.1	85	89	175.1	122.7
206140_at	3	1.2	6.8	17	1.9	2.2	5.3	41.2	4.1	24.3	5.6	4.8
206141_at	3.1	25	29.7	44.1	7.4	40.9	27.1	29.8	9.2	62.7	28.7	8.2
206142_at	23.8	18	23.7	29.8	47.8	35.4	17.4	15.9	31.5	23.8	7.3	35.6
206143_at	1.3	2.7	0.6	25.1	3.6	0.8	24.7	1.2	0.3	47	19.3	3
206144_at	121	100.6	215.9	126.1	71.2	84	57.6	117.3	112.8	129.3	75.4	113.4
206145_at	0.5	11.4	1.9	18.9	43.4	28.4	22.6	19.3	8	43.9	58.5	3.8
206147_x_at	130.7	121.7	66.7	48.6	79.3	41.1	61.6	52.4	78.4	113.2	245.2	57.9
206148_at	12.1	7.7	4.4	6.4	8.6	8.2	7	9.2	6.1	38.9	30.5	13.7
206149_at	3	3	2.7	2.9	7.5	3.8	5.4	2.9	20.5	35.2	7.9	7.1
206150_at	49	48.5	48.9	52.5	24	23.6	19	14.4	23.8	85.4	88.6	13.1
206151_x_at	6.9	3.8	8.9	17.3	11.2	6.3	4.1	3.1	24.8	62.5	15.8	11.9
206153_at	2.7	2.1	2	4.8	12.6	4.9	2.2	3.2	2.4	8	8.7	20.6
206154_at	11.9	29.3	13.4	64.4	11.1	49.8	23.4	46.3	12.7	84.5	21.9	13.3
206155_at	2.4	2.4	2	1.8	3.1	1.8	3.9	6.8	3.5	57	7.7	3.6
206156_at	6	3.6	2	3	6.3	3.2	3.2	6.5	6.3	15	26.1	11.9
206157_at	14	5.8	14.7	3.8	2.3	2.4	10.7	1	8.1	28.9	8.7	1.5
206158_s_at	371.6	371	401.2	407.1	298.7	526.8	473.9	466.9	472.1	98.7	271.4	295.9
206159_at	30.6	35.8	45.4	54.5	54.8	96.7	19.3	49	35.2	13.5	99.2	47.7
206160_at	72.4	57.2	40.7	61.4	69.7	83.3	53.3	42.4	52.1	203.3	197.6	64.8
206161_s_at	48.5	36.3	30.8	37.4	53.9	38.7	40.3	39.3	42.8	190.7	89.6	56
206163_at	2.1	26.7	22.6	27.1	2.4	12.5	20.9	36.6	10.8	68.3	31	29.6
206165_s_at	35.8	12.7	16	18.1	29.7	28.6	26.9	26.3	42.4	74.7	90.7	14.1
206167_s_at	38.6	53.9	82.4	83.3	48.1	46.9	61.3	62.6	56.2	157.4	46.4	83.7
206170_at	61.9	68.6	34.9	78.2	82.6	48.9	58.4	24.7	60.7	191.4	137.8	80.4
206171_at	162.2	101.5	75.7	138.4	93.8	160.8	131.4	105.2	134.1	209.1	278.5	182.7
206172_at	12	35.7	53.7	20.5	9.1	19.9	18.1	30.5	44.4	71.8	35.3	14.8
206173_x_at	10.9	5.6	3.8	4.4	2.1	19.9	4.6	5.5	1.8	21.1	7.3	3.7
206174_s_at	90.7	72.2	62.5	71.5	13	55.8	54.1	54.3	56.3	26.5	145.6	77.6
206175_x_at	40.4	27.5	28.2	28	25.1	6.7	2.9	17.9	7.3	4.8	8.2	7.2
206176_at	45.5	58.4	22.5	55.4	8.9	54.2	63.3	34.5	23.1	14.5	161.8	7.7
206177_s_at	7.5	19.7	38.7	18.4	34.3	35.4	32.8	54.9	19.4	61.2	79	41.2
206178_at	215.4	148.1	105.3	187.8	120.1	189.9	160.8	108.8	120.2	157.5	323.8	240.8
206179_s_at	79.1	79	69.2	44.1	43.7	45.6	45.2	44.1	54.8	26.8	124	69.8
206181_at	22.6	19.5	21.9	42.6	18.3	23.3	32.1	20.2	9.8	121.8	45.9	15.8
206182_at	19	7.3	16.1	15.6	7.1	18.3	30.9	44.2	33.5	56.6	71.5	37.7
206183_s_at	40.2	63.2	24.3	26.1	21.2	48	25.5	44.3	44.5	63.4	117.8	59.5
206184_at	61.5	2.9	29.3	44	45.6	37	39.9	39.2	39.1	163.7	79	52.2
206185_at	4	3	4.3	12.2	7.1	6	4.3	2.7	3.3	8.4	21.9	8.2
206186_at	108.9	101.7	37.5	99.5	71.1	64.3	56.5	62.4	63.2	136.2	169.5	62.1
206187_at	16.5	38.2	4.4	15.2	15.3	36.6	8.9	6.7	3	35.4	82.8	12.7
206189_at	37.9	26.6	32.3	32.2	27.1	43.7	16.1	20	22.2	20.4	21.8	50.9
206190_at	44.4	87.4	78.3	102.9	174.8	50.4	51.5	120.3	215.8	22.7	194.3	170.9
206191_at	57.2	148.1	195.2	67.9	64.1	62.3	45	124.8	98.6	156.3	170.3	47.1
206192_at	6.3	4.6	5.1	5.9	8.7	5.5	2.8	8.2	3.3	31.2	15.6	7.6
206194_at	65.9	44.6	28.4	53.1	62.2	38.8	27	42.4	39.9	143.4	74.5	71.3
206196_s_at	306	495.1	769.6	326.7	297.2	233.6	314.6	486.2	374.3	335.6	161.3	302.3
206197_at	106.6	144.6	95.8	106.6	74.8	63.2	86.3	119.4	89.7	169	127.6	143.8
206200_s_at	101.7	48.9	104.7	130.3	79.1	223.1	212	89.9	100	158.8	146.1	134
206201_s_at	2.3	0.5	0.7	5.5	2.2	1	0.3	7.9	10.6	1.6	17.1	1.4
206203_at	27.8	2.4	24.9	5.4	21.8	12.3	31	6.8	4.4	84.3	8.5	49.9
206204_at	1.4	23.2	19.1	21.4	7.2	9	18	16.7	17.2	33.7	31.3	15
206206_at	33.6	13.5	10.3	41.5	41.6	22.3	62.9	17.7	47.1	13.2	31.7	40.7
206207_at	3.9	9.5	5.8	5.1	11.3	2.3	14.3	5.9	18.3	32.1	8.6	4.9
206209_s_at	47.3	56.3	17.9	51.9	72.6	69.6	37.9	51.4	63.4	123.2	98.1	140.5
206210_s_at	7.9	4.4	3.6	5.5	4.3	5.1	7.4	2.1	3.8	7	24.8	6.5
206211_at	53.3	1.9	1.8	15.2	0.6	82.8	21.5	1.9	5.9	25.4	6.6	16.7
206212_at	70.8	81.3	58.6	100.1	88	80.1	69.3	61.7	100.2	325.8	265.9	110.1
206213_at	42.1	81.3	19.8	26.1	6.8	53.1	43	34.2	46.5	171.4	127	12.9
206214_at	49.2	39.7	32.2	26.5	18.7	45.9	47.9	29.9	28.5	44.3	10.1	52
206215_at	96.3	99.1	97.7	82.2	94.1	84	95.3	89.4	116.5	345.2	43.7	97
206216_at	53.8	19.2	47.4	103.7	79.9	116.7	87.2	91.8	62.6	163.7	91.5	145.5
206217_at	67.7	77.9	38.5	95.4	32.7	42.4	62	29.4	74.1	261.4	122	152.1
206218_at	33.8	24.1	34.6	43.4	19.4	5.3	25.2	27.7	22	76	78	54
206219_s_at	48.2	43.5	45.3	45.2	42.5	86.5	51.3	53.5	57	142.5	115.7	89.5
206220_s_at	42.6	33.8	22.5	23.7	44.5	29.9	9	7.7	6.6	8.1	60.6	71.1
206222_at	9.3	13.9	26	14.1	37.1	28.5	45.5	16.7	20.9	110.6	55.3	46.3
206224_at	8.9	2.7	1.7	16.5	23.6	2.5	2.5	1.1	8.3	4.9	7.4	5.2
206227_at	88.4	51.4	86.8	79.8	95.1	82.4	88.5	83.1	75.6	214.8	179.2	187.5
206230_at	3.1	7.7	3.3	7.1	26.2	5.6	11.1	11.4	3.4	19.5	3.9	9.9
206231_at	13.1	88.1	81.6	93.5	52.1	103.2	67.3	115.2	94.9	194.7	164.6	26.9
206233_at	45.7	49.2	144.6	56.1	7.2	7.2	16.1	46.9	26.3	71.8	7.9	41.4
206234_s_at	13	8.7	2.6	17.3	9.2	11.9	11.1	3.8	5.7	99	52.9	7.9
206235_at	5.8	13.1	34.3	17.8	1.2	14.4	2.9	21	1.9	15.4	15.2	7.9
206236_at	75.9	40.9	37.4	20.1	32.7	71.4	73.4	60.6	64.8	63.4	186.1	32.3
206238_s_at	69	70.4	122.5	130.7	63.8	92.7	52.9	60	37.3	72.8	241.8	94.4
206239_s_at	2.4	2.2	11.3	2.4	32.6	38.8	4.4	10.9	2.2	26.6	50.6	13.5
206240_s_at	114	124.3	185.2	181.6	201.5	201.7	121	169.4	161.2	334.9	211.4	138.6
206241_at	12.7	17.7	1.1	3.4	14.4	3.4	5.4	9.3	7.8	4.5	22.1	24.3
206242_at	11.2	9.6	2.9	41.2	35.5	20.4	29.4	34	7.4	214.5	117.9	69.7
206243_at	110.6	27.2	19.4	53.3	136.8	54.3	56.6	42.7	64.3	18.2	22.6	130.8
206246_at	7.9	10.2	8.8	13.9	5.6	11.1	5.6	4.9	8.2	34.3	28.2	9.5
206247_at	55.6	6.2	35.7	14.4	42.9	41.6	50.4	3.1	13.9	100.4	13.1	18.8
206248_at	36.5	25.4	38.5	38.9	13.5	37.4	23.9	42.7	9	25.1	79.2	28.8
206249_at	48	48.6	29.6	48.1	46.2	59.7	32.6	81.4	34.5	90.2	12.3	62.6
206251_s_at	5.1	6.4	11.5	5.7	5.1	13.6	3.3	13.5	22.6	75	51.2	5.2
206253_at	81	45.5	62.9	36.2	41.2	40.3	22.6	43.1	28.4	104.2	37.9	31.6
206254_at	19.6	3.3	23.8	15.1	7.5	57.7	24.8	23.2	34.3	69.5	32	26.2
206255_at	1.1	0.9	0.7	1.8	3.4	2	1.2	1.3	1.9	4.1	11.5	1.4
206256_at	37.9	68.5	30.9	64.2	27.9	73.4	32.2	18.8	4.5	217	143.2	99
206258_at	18.1	5.4	5.4	2.6	5.6	35.9	6.7	3.2	2.3	6.1	5.5	8.8
206259_at	2.8	1.4	5.5	3.3	10.3	2.7	2.2	7.8	7.3	89.3	14.7	11.8
206260_at	12.2	4.5	3.6	10.7	17.8	4.7	7.9	4.6	14	88.6	30.9	65.2
206261_at	52.6	68.4	41.4	38.5	48.7	34.2	53.2	68.1	50	125.9	112.4	53.1
206262_at	4	13.4	1.1	12.5	4.7	19.1	21.2	4.3	23	20.7	8.9	27.6
206263_at	109.3	56.8	73.7	199.3	92.1	83.5	89.3	75.9	74.1	204.3	185.8	99.7
206267_s_at	3.4	6.3	14.9	12.2	16	16.8	52.9	17.4	34.5	80.7	19.3	29.6
206268_at	14.2	31.3	28.1	26.7	40	15	31.2	44.9	25.7	34.3	98.2	65.6
206269_at	23.5	6	18.4	5.4	27.3	23	3.9	9.2	7.3	139.1	17.3	9.8
206270_at	2.2	1.5	3.7	1.5	3.8	1.6	1.4	1.3	4.5	3.8	14.7	2.2
206271_at	30.1	7.5	15.8	22.9	30.3	31.3	35.3	29.4	23.1	10.2	15.1	16.5
206272_at	198.4	227.2	290.6	230.2	201.5	156.3	208.4	248.1	219.8	85.9	89.6	176.9
206273_at	34	67.4	67.9	16	22.1	52.1	31.3	36.9	51.2	95	20.5	11.8
206276_at	2.3	1.1	1.1	1.8	10.2	8.5	3.9	3.6	4.1	11	4.3	2.5
206277_at	3.6	2.7	2.5	2.7	5.4	2.8	2.9	4.5	4.8	77.6	16.3	6
206278_at	30.7	4.5	12.6	39.9	10.8	44.5	26.1	36.3	41	38.5	43	48.9
206279_at	49.5	28.9	21.7	29.2	52.8	33.3	51.5	16.6	42	10.7	86.6	53.6
206280_at	74.8	99.2	129.1	55.9	50.5	21.6	58.6	126.3	118.5	217.1	121.4	50.6
206281_at	50.7	52.9	37.8	46.1	69.3	32.1	34.8	86.9	55	123.3	159.3	45.8
206282_at	7.9	4.2	2.8	6.2	17.3	4.7	1.4	6.9	27.4	12	64.5	34.6
206283_s_at	58.5	50.8	64.3	72	59.9	72.7	82.7	79.6	78.6	160.6	153.2	103.6
206285_at	43.4	14.5	12.2	30.5	28.4	47.2	45.5	5.8	18.1	98.1	118.5	78.8
206286_s_at	7	60.4	2.3	71.7	9.1	7.6	19.2	6.1	61.2	24.1	20.4	55.1
206288_at	4.7	3.2	3.9	9.2	2.4	3.6	3.9	2.7	3	59.7	9	8.6
206289_at	11.3	5.9	8.8	40.3	40.3	16.7	20.3	29.6	5.3	57.1	25.3	19.9
206290_s_at	117.8	257.6	313.6	151.6	133.7	117	116.6	189.5	232	201.5	99.4	102.2
206291_at	10.5	137.5	19.5	26.3	111.2	31	49.8	20.7	48.4	57.8	15.2	52.5
206292_s_at	6.2	9	9.5	36.9	6.2	31.8	7.7	3.1	2.4	24.6	106.2	36.9
206294_at	5.5	4.7	4.1	9.7	25.8	18.4	6.2	25.3	16.7	10.3	14.6	7.1
206295_at	9.1	1.8	8	27.1	4.5	16.1	26.6	3.4	29	25	88.7	57.2
206297_at	48.1	30.3	44.3	17.4	49	29.7	20.7	44.7	31	81.9	26.5	37.5
206301_at	4	2.3	3.8	3	4.7	3.7	2.8	2.5	2.4	9.6	7.1	4.3
206304_at	31.9	25.1	8.4	18.6	8.1	40.3	9.9	38.4	31.2	86.9	11.7	6.8
206305_s_at	24.6	22.1	3.7	39.9	27.7	26.1	15.8	6.6	20.2	14.9	29.6	32.8
206306_at	143.9	210.9	140	109.6	220.5	173.1	156.5	203.5	168.3	155.1	165.2	143
206308_at	24.1	22.8	10.5	29.3	38.4	32	26.6	12.2	23.8	34.9	80.2	20.4
206309_at	66.9	64	41.5	57.8	68.1	48.1	45.2	31.4	68.9	140	98	68.7
206310_at	17.7	14.2	21.2	33.3	10.1	21.6	4.1	4.2	10	104.9	108	24.7
206311_s_at	4.4	13.9	8.1	4.2	2.4	4.4	4.3	1.4	3.6	80.4	27.9	6.3
206312_at	9.6	2.9	2	2.5	16.7	8	2.5	1.3	1.5	16.3	13.5	18.8
206313_at	26.7	2.6	5.9	7.2	21.2	22.2	14.5	6.7	32.2	152	30.6	21.3
206314_at	15.2	25.8	10.8	17.5	12.4	24.3	19.9	28.8	29.5	48.6	42	46.1
206315_at	2.3	2.4	3.3	2.8	5.1	3.5	2.1	7.8	2.4	14.7	8.4	3.9
206317_s_at	2	7.9	1.1	3.3	11.7	20.2	3.7	2.8	1.7	7.9	12.1	5.4
206318_at	2.1	6.5	11.7	33.3	34.3	33.7	16.5	12.8	16	154.6	119.9	26.7
206320_s_at	5.6	11	2.7	4.1	33.4	2.8	4.6	5.6	2.7	11.8	30.5	6.6
206321_at	1.7	3.8	2.8	2	3.3	3.1	4	2.2	2	6	4.7	4.3
206322_at	34.9	3.3	5.4	4.3	17.4	12.5	21.3	26.5	13.6	14.6	18.9	12.2
206323_x_at	799	589.8	489.4	1354.1	1025.4	812.5	919	549.3	840.2	5580.4	6372.6	722
206324_s_at	13.2	54.2	33.3	82.5	27.5	18	34.2	10.6	34.2	71.4	35	51.2
206325_at	30.6	19.4	7.8	12.1	20.7	44.4	12.1	10.3	11.8	101.4	18.2	9.9
206326_at	41.3	65.8	117.8	7.8	41.1	31.8	40.8	25.3	66.6	44.5	61.6	52.9
206327_s_at	7.1	46.3	38.6	42.4	11.3	17.2	8.2	33.6	7.1	115.4	136.2	43.1
206329_at	8.9	8.5	8.3	6.2	10.3	28.8	4.8	28.3	21.3	24.7	33.7	9.9
206330_s_at	61.7	111.3	37.2	33.2	49.6	70.2	12.1	38.5	72.8	15.1	11.3	15.1
206331_at	51.9	9	28	63.7	8.6	44.6	72.4	23.1	54.1	99.7	118.7	25.1
206332_s_at	216.2	137.2	166.2	191.1	183.9	320.7	322.1	98.3	178.7	95.8	208	205.3
206333_at	3.1	2.6	7	20.8	9.6	4.5	4.6	17.3	5.4	16	8.4	16.4
206334_at	7.1	16.9	3.1	3.7	34.1	17.7	19.5	24	3.1	73.6	15.5	12
206335_at	68.6	43.6	68.9	52.8	99.7	76.6	76.9	117.8	94.2	248.1	61	115.9
206336_at	15	6.3	5.2	24.1	5	1	7.9	16.1	15.5	74.6	35.2	23.4
206337_at	6.3	33.4	29.2	12.6	13.4	37.4	24.9	30.9	27.8	24	101.6	3.1
206338_at	33.8	25.4	9.6	46	66.2	33.5	41.8	75.8	50	234.5	83.7	90.4
206339_at	14	23.1	31.2	27.2	48.1	27.3	46	123.1	51.2	58.2	53	13
206340_at	12.4	43.3	17.6	36.1	40.5	41.3	26.6	39.4	26.3	87.7	96.7	34.4
206343_s_at	52.8	39.2	72	51.9	8.7	26.2	9.3	12.8	36.2	10.3	27.4	31.6
206344_at	26.9	2.6	10.4	22.7	11.9	16.1	5.2	28.9	3.6	104.4	111.4	3.9
206346_at	11.2	2.4	16.1	0.7	10.6	0.9	9.6	20.9	1.9	37.1	48.2	13.4
206349_at	291.3	239.9	304	113.7	122	182.6	108.7	386	173.1	14.4	6.5	113.7
206350_at	25.6	20.3	15.2	7.6	22.2	24.2	5.5	35	3.2	36.6	109.4	34
206353_at	51.1	50.1	43.1	47.1	38.1	66.3	71.4	35.1	37.7	145.1	102.2	69.5
206354_at	12.7	2.8	21	3	1.9	6.7	15.4	4.3	2.2	13.8	4.2	6.2
206355_at	48.8	74.7	76.3	97.8	31.7	46.1	51.8	54.5	60.7	118.6	29	34.8
206358_at	5.6	2.6	2	5.8	20.2	2.4	3.7	12.1	3	39.7	54.5	7.4
206361_at	5.8	75.1	39.2	89.9	78.2	58.8	49.1	53.7	45.8	152.9	101.3	25.7
206362_x_at	15.9	7.7	6.5	6.8	16.6	5.5	9	6.6	13.6	46.1	32.5	10
206365_at	14.1	5.6	1.7	3.5	25.2	8.8	6.4	13.7	13.7	90.9	24.6	14.3
206367_at	12.2	5.4	4.3	11.6	7.8	9.6	6.4	6.6	6.2	11.1	22	12.6
206368_at	21.1	5	1.3	19.9	8.6	37.3	18.8	11.6	16.9	64.5	3.1	2.2
206370_at	2.8	0.8	0.5	2.1	5.7	1	10.3	15.6	0.7	22.9	3.5	15.7
206371_at	18.1	31.5	4.3	4.7	10.3	21.3	29	44.2	26.6	38.1	8.8	7.6
206372_at	43.6	16.5	5.3	32.7	18.4	13.8	6.7	5.5	6.3	9.5	17.2	54.4
206373_at	128.1	165.5	74.3	246.5	269.6	212.7	315.1	149.9	233.3	122.7	202	273.1
206374_at	255.3	193.1	135.9	138.2	147.4	117.9	145	160.1	126.1	340.4	147.3	205
206375_s_at	11.9	20.4	15.3	46.8	15	14.8	11.9	8	9.1	83	28.1	9
206377_at	69	70.8	42.8	140.2	91.3	67.1	101.4	89.8	51.7	88.4	167.4	140.1
206378_at	2	10.7	9.4	27.8	13.8	12.9	11.6	8.5	17.9	18.1	2.6	16.8
206379_at	24.2	10.1	20.3	27.8	24.9	8.8	5.9	4.5	3.8	7.7	16.8	20.1
206380_s_at	2.2	6	1.8	3.5	3.2	2.4	3.7	2.6	4.4	7	10.2	6
206381_at	46	45.7	98.6	46.6	3.4	65.2	21.8	106.9	46.9	119.7	32.6	66.2
206382_s_at	48.4	40.1	49.7	39.6	63.8	44.1	26	22.3	35.7	8.5	42.8	40.4
206384_at	25.5	38	23.4	2.8	7.5	5.5	6.4	11.5	14.5	23.9	23.3	7
206385_s_at	718.7	1191	1318.5	884	1028.2	664.7	579.2	976.4	737.2	370.8	581.4	713.9
206386_at	3.4	3.2	10.5	13.8	26.6	4.1	3.4	3.3	2.9	7.7	17.3	9.9
206387_at	6.9	7.7	2.2	5.9	6.6	6.9	6.7	4.5	8.6	34	23.8	10.3
