GSM506013	GSM506014	GSM506015	GSM506016	GSM506017	GSM506018	GSM506019	GSM506020	GSM506021	GSM506022	GSM506023
200074_s_at	528.6456235	721.8847078	724.9097982	462.8199419	522.0375293	634.230501	372.1193773	421.0336527	613.5473899	570.2999508	579.451885
200075_s_at	330.2835528	501.5201202	390.8528552	327.3593062	325.2152011	459.6479296	471.5144262	375.0346306	453.9553973	403.4201282	243.5793286
200076_s_at	241.2485172	241.335908	266.3477959	194.0168714	216.6871295	226.8706198	183.4581745	196.4124309	225.3767631	242.8000747	231.9321229
200077_s_at	1823.700992	2019.461131	1840.223019	1633.436783	1806.822255	1659.559933	2003.136234	1753.734038	2050.02411	1410.953987	1969.046109
200078_s_at	803.692841	728.9889978	663.8769021	529.2365457	754.151783	444.7300048	833.710747	618.2671165	672.435819	556.1571192	864.346924
200079_s_at	257.7718625	332.5841502	263.2035552	298.0190123	239.8847544	218.2284989	264.4304624	243.4441487	288.9143194	201.8494998	280.3405297
200080_s_at	862.009922	567.0757098	962.7551408	852.5798265	1180.350536	1199.828949	1324.742611	1288.416119	1425.260085	698.59424	838.0982046
200081_s_at	1481.784551	2216.249928	2439.533477	2113.154533	2457.764605	2286.48451	2051.150987	2420.942321	2640.791481	1781.329486	1683.02814
200082_s_at	934.6821764	1333.797197	1250.692294	881.6287992	1392.138022	1254.422528	1484.945948	1480.956702	1394.082083	926.6840691	1169.246945
200083_at	523.3319417	546.7902894	471.8534591	407.1168444	420.9933148	406.0238208	471.2984219	453.0375605	310.4384656	424.5952547	526.7542808
200084_at	471.9446623	448.813272	475.6701111	504.9882931	519.5643921	538.5254566	587.263597	437.0715484	722.4664124	467.1408726	486.6798459
200085_s_at	611.4501732	855.3707779	580.6996512	622.4187768	965.7276987	531.2796346	896.6487677	841.1491052	634.7246857	507.0565384	769.7983695
200086_s_at	1248.498348	1375.635592	1040.367226	963.9879055	944.9540036	1004.79945	1122.152006	837.7020193	827.5253085	976.9165176	1590.163615
200087_s_at	385.5224414	339.9115739	386.6823718	331.2149657	337.7077826	402.0347437	405.1704457	249.2593801	554.7716681	336.4049117	452.5143405
