"","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"Hspa1b",6.49804804419956,10.0853359374319,7.85248438572834,6.88235469865103,7.84171312565869,5.94184597676527,7.85248438572834,5.25891245664971,9.58739867653617,6.12544141116749
"Hspb1",3.47350211675417,6.26588886995514,4.0287152832833,4.20935980056661,3.53909105086003,5.73647095701393,4.0287152832833,5.32258198767788,6.25183590937259,0.831017067227122
"Hspb3",1.24427302137047,6.77632995024246,2.96640884309624,2.15767908374192,2.98156238299159,1.30727708967538,2.96640884309624,0,6.65559802839408,0.248975039580062
"Icam1",3.14363939178138,6.87812232698568,4.29154401226085,3.77305913301372,5.38144637140078,0.257342766131782,4.29154401226085,0.180747355456039,5.77335175861285,6.08354064048381
"Icosl",2.7610391533192,6.36362224835591,2.4628243299523,4.5981072278438,3.53707576859599,3.77919866946515,2.4628243299523,3.36252147603195,6.07323082171372,4.60568653614809
"Ier3",6.66707391418068,10.522158586349,7.15900340580151,7.92323515308607,7.51704818087622,7.70284376891518,7.15900340580151,7.89400733408043,10.0021665503033,5.87937713867566
"Ier5",7.29597679237978,10.9330197920703,7.60607246232031,8.61584939354639,8.41133998408461,7.41114063992066,7.60607246232031,7.03991580451513,10.630191293129,8.49262780080129
"Ifitm10",1.03934904779789,3.56786703230783,1.12785764310813,2.06813064512453,1.62393322805352,1.64419578854112,1.12785764310813,1.65272391879271,3.76210559334989,0.872643768497351
"Ighd4-1",0.186613811699026,2.6880574832447,0.643044730633401,0.881618363932681,1.05038727508139,0,0.643044730633401,0,2.82117876458458,0
"Ighj1",2.03436985985992,6.06032389448639,1.82981631435394,3.97470910232673,4.05512609264468,0,1.82981631435394,0,5.76996327986717,6.94910584757837
"Ighj3",0.764218020541437,3.80682555201506,0.556125732745456,2.27743956738263,2.01021787893447,0,0.556125732745456,0,3.7724037211338,3.51540289449061
"Il10ra",3.66507878041285,8.39535539148009,2.19687091297673,7.01925668176137,4.50379753430662,5.49759424188881,2.19687091297673,5.30179510100594,8.31613680995886,7.78333045047041
"Il1a",0.206477477173902,4.01719639890133,0.825793367931277,1.33176560101695,1.47780703925245,0.0447002379693823,0.825793367931277,0,4.04267170719908,0.218978216055152
"Il21r",0.938077603542886,4.98072353058262,1.10991740025784,2.55637537449719,2.11444798512583,1.24037424034955,1.10991740025784,0.643413262037221,4.80971188765812,2.59859339628821
"Inpp5d",2.72082784023595,6.21660255924273,1.89815173334893,4.97007087332756,3.54463693431294,3.51415571065517,1.89815173334893,3.3346408453519,6.11999596926804,5.78266181095788
