"","endoBYo","AveExpr","F","P.Value","adj.P.Val"
"Hmgcs2",5.65175589273569,1.02059948734716,128.537023133886,3.62951321958358e-12,7.04348429446031e-10
"Aldh1a7",2.08326337881696,0.294860809604851,127.224242219753,4.1006816034761e-12,7.87395430746044e-10
"Apold1",8.28905354980169,2.76933222376252,127.151488019791,4.12863851948385e-12,7.87395430746044e-10
"Gm43906",4.2761451397956,0.4838129849951,124.755972196248,5.17307239459091e-12,9.74454723332445e-10
"Arhgef5",4.5909764814489,0.897755923640847,124.69244099535,5.2043556893521e-12,9.74454723332445e-10
"AC164883.6",3.62845352972725,0.39327725032328,124.61731652442,5.24160882685716e-12,9.74454723332445e-10
"Rpl3-ps2",-5.26860302641109,2.90151191342235,124.31269642862,5.39561327012512e-12,9.94726269791484e-10
"She",4.89088401364233,1.45249540774369,123.243432748586,5.97565826392374e-12,1.09255775018831e-09
"Msx3",2.23645896363034,0.254962633483497,120.285204822761,7.95661509844873e-12,1.44282127723755e-09
"Gstm2",2.96954277695539,0.548071832363139,118.837075126213,9.17291116019838e-12,1.64985620810625e-09
"Tnfrsf11b",3.05923979799198,0.454974484455824,118.319969220622,9.65418614845889e-12,1.72241580776094e-09
"Mill2",3.4094471847291,0.75550542616814,115.390638103882,1.29428199624204e-11,2.29067204822902e-09
"Dll4",6.74865555152255,1.21079200404171,114.959763706455,1.35199524788242e-11,2.37382467213514e-09
"Dysf",1.74650740118713,0.273658847762136,114.656139143947,1.39431362664605e-11,2.42885042222761e-09
"Proser2",3.77956216377216,0.821380085152273,113.750207845668,1.52921664747392e-11,2.64303592906761e-09
"Gm2399",4.98569545090038,0.46070767048501,113.116705575584,1.63180897284054e-11,2.79848914001172e-09
"Slc52a3",3.98663531132362,0.881564506212518,110.207926075877,2.20701557959279e-11,3.75583120517933e-09
"Rai14",3.31101598937967,0.794752374090245,109.149077645848,2.46734535846451e-11,4.16680010422216e-09
"Hspa12b",4.93963830768797,0.998295187540139,109.05906299779,2.49094356833472e-11,4.17478367895978e-09
"Bsg",5.02844979849758,8.40530874087666,107.104999928328,3.06748653834639e-11,5.10240636750656e-09
"Gm2996",5.77103187622582,0.872209554351777,105.907933648697,3.4899893851613e-11,5.72298639926672e-09
"Gm3716",3.1931012972579,0.571912604280931,105.884895789445,3.49870691339559e-11,5.72298639926672e-09
"Arhgap39",-2.53719681469077,2.89108648967007,105.833664689906,3.51817633368112e-11,5.72298639926672e-09
"Gm34574",1.98713127492051,0.368701305018337,105.743581782069,3.55269214343406e-11,5.73694951015998e-09
"Ankrd37",3.87437418724148,1.62052957554955,105.530265624593,3.63587768017583e-11,5.82873347235723e-09
"Foxf2",6.13039780072174,1.1298895564984,105.348214941781,3.70851845351839e-11,5.90241393864657e-09
"C130074G19Rik",6.40509687845005,1.31587108454386,104.974462882357,3.86255953954396e-11,6.10367176380936e-09
"Atad3aos",2.86277168907692,1.00633961342139,103.713636114187,4.43475590770543e-11,6.95816347135938e-09
"Adamtsl2",5.37208824460421,1.04087201283238,103.489890034874,4.54544638982252e-11,7.08161341422842e-09
"Fbln5",2.43374731549032,0.479841191661907,100.883996542974,6.07630888339209e-11,9.40043226764218e-09
