"","monocytesBYo","AveExpr","F","P.Value","adj.P.Val"
"Rgs6",0.24847729823772,0.300383228993201,0.70666537199244,0.407536896632078,0.643756785868777
"Hmgn5",0.802833399314605,2.71683302224677,0.706613043494879,0.407554050548717,0.643756785868777
"Kcns1",0.30889975572787,0.537988232728426,0.706593838732154,0.407560346376083,0.643756785868777
"Bud23",-0.304788197281273,4.39235610364532,0.705655873310353,0.407868014727126,0.644190547349131
"7530428D23Rik",0.218082958110076,0.343613597149099,0.705525996867709,0.407910643977863,0.644190547349131
"Gm7882",0.221755980995011,0.145939521142722,0.705490442485129,0.407922315138723,0.644190547349131
"Cplx2",-0.726751173840755,2.65285106581704,0.705102526905246,0.40804968590535,0.644345696023131
"Ccng1",-0.488231458933849,6.05684587704694,0.70483995407248,0.408135934856655,0.644435892287044
"Gm18905",0.252950842267714,0.149343238955262,0.704268607403718,0.408323703760593,0.644686361568341
"B230219D22Rik",-0.535821713716438,5.62905686083075,0.703733983383399,0.408499522122674,0.644917928203805
"Rnaseh2c",0.366607780248208,6.68495850704562,0.703586924201865,0.40854790456795,0.644948286910001
"Gm48873",-0.290108799143938,0.271671872587725,0.703348358328996,0.408626411099572,0.645026192847366
"AC125351.1",-1.09125065811314,2.23969408613322,0.703155475879854,0.408689900920692,0.645080385136164
"Slc17a8",0.417235781337274,0.282849708799574,0.703048566755517,0.408725097895034,0.645089915155299
"Afg3l2",0.462121673161498,3.32701045664898,0.702170849165234,0.409014236103724,0.645494834396973
"Sh3pxd2b",0.724212322045518,1.68720911890959,0.702092662483895,0.409040007386483,0.645494834396973
"Gpc5",0.260604022549835,0.301692145397177,0.701911270336484,0.409099805895211,0.64554315305419
"Pla2g12a",-0.315290400357188,3.32440469476604,0.701548271251137,0.409219513386339,0.645685992058054
"Pick1",-0.583428104282466,2.27273940068521,0.701412133763535,0.409264421572235,0.645710797207428
"Ldhd",-0.560266061955026,1.64433204309538,0.701295120858301,0.4093030270111,0.645725655463636
"Zcchc6",-0.38165145232214,3.43391161192945,0.700632303353768,0.409521810734902,0.646024744644056
