"","other","macrophages"
"Cenpf",1.32117846840336,1.51733505531763
"Cenph",0.812712392813484,1.72303290811499
"Cenpk",0.735415887774367,1.60735289068524
"Cenpm",1.1655705285758,1.90065983147686
"Cenpn",1.43275132971098,2.06971943346027
"Cenpw",1.92981044442168,4.0854488138391
"Cep55",0.906252467356766,1.34012684074999
"Cers6",1.61406057604471,1.81764655392401
"Cfb",0.0265465932660449,7.08789539714782
"Cfp",4.53974341509684,12.6827462705884
"Cgnl1",0.693063936284408,2.14529646746532
"Chaf1b",1.28397619806571,1.52511832145921
"Chd3",4.57187610607835,2.43425710890736
"Chek1",1.0625162485701,0.863300242845583
"Chpf",4.0018451591885,4.02034879782679
"Ckap2",1.84195614376623,2.6422951564159
"Cks1b",3.78368970259527,7.25839871277203
"Cldn10",0.843424406298394,0.974487544624866
"Clec10a",1.57328940426394,4.57234217934407
"Clec2g",0.901388757110522,1.0572019462325
"Clec2i",1.76477528710963,2.2709842466539
"Clec4a1",2.0069481024325,5.04854562695372
"Clec4d",1.21210798128695,7.87297754334673
"Clec4e",1.62824239053409,6.51310181222985
"Clspn",0.61651342939085,1.2528593370391
"Cma1",0.402611745881974,4.25125170516128
"Cmah",0.535097891075578,1.55947545266916
"Cmpk2",3.31037361923317,3.35756165526632
"Colca2",0.702998288603215,3.14227548493944
"Copz1",5.2027086790105,5.63084804409582
"Coro1c",3.66098418201679,3.6388595690863
"Cotl1",4.80160876900676,9.17692674340065
"Cox7a1",1.81117628974836,4.75084071627311
"Cp",1.00082564141071,1.82229807015592
"Cpa3",0.229376648090848,1.77805062802987
"Cpne2",2.4779436175942,2.30897872010849
"Cpt1a",3.77509284940113,2.8178279095174
"Crip1",4.26690239814502,12.0322978084578
"Cry2",2.79935890527073,1.34255246095139
"Csf2ra",5.95263406357722,7.99654945971182
"Ctsa",8.02457455517979,2.4149635811776
"Cuedc1",1.59923380179485,0.749723800648256
"Cxcl1",3.42109148539167,3.07689501540994
"Cxcl12",3.50533003856225,5.42376034997866
"Cxcl13",0.355506931134864,10.6881040275744
"Cxcl14",3.27155835027613,4.24311580404346
"Cyb5r3",4.93428309565612,5.4234349603202
"Cybb",2.29759730635932,8.14824267701869
"Cyp26a1",0.198292058582373,4.26973752252977
