"","other","newoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"Tnrc6c",2.05574792044308,2.31437917091258,2.31398781071628,1.86211692276272,2.578528640844,0.682758751957931,2.31398781071628,0.714913784036974,1.61561683178633,3.48526078020999
"Togaram2",0.248815698148633,0.0561490462081028,0.353094180538139,0.133488694565248,0.306843619228268,0.0410722521945035,0.353094180538139,0.0406425993847246,0.0906100506909047,0.287782652656221
"Tox3",0.725309691627901,1.81321200801448,1.43504472537899,0.240279326644019,1.06055712192086,0.0753548374188983,1.43504472537899,0.0751386084705847,0.104216468984517,0.574511046111641
"Traf3ip1",1.38855855393811,1.47733773955885,1.90714029779547,0.945896926265513,1.71727878557461,0.506772713342929,1.90714029779547,0.573740722004869,0.83879202915346,1.49958926849034
"Tram1l1",1.81108085412726,5.85159498720109,4.31091706332881,0.128788437710125,2.79567244656819,0.113582508183163,4.31091706332881,0,0.285623429900211,0.126499570772189
"Trank1",0.558464586628792,0.377409812809755,1.00403472926069,0.145958865098499,0.714259931109744,0.0847636958514153,1.00403472926069,0.0918510034940932,0.0471273229633381,0.309719841158945
"Trbj2-4",0.177248590276968,0,0.354497180553935,0,0.225589114897959,0,0.354497180553935,0,0,0
"Trbj2-7",0.261880882927779,0,0.523761765855559,0,0.333302941908083,0,0.523761765855559,0,0,0
"Trh",0.947373351035283,0.50880338736589,1.82679645220592,0.123056892052302,1.25200275471453,0,1.82679645220592,0,0,0.393782054567365
"Trim2",1.5406028849996,3.09336986567931,2.50047165143467,0.894813586953884,2.05242346387723,0.521288038256043,2.50047165143467,0.470741085860449,1.85499376729151,0.443520407928377
"Trim37",1.75049702031895,2.31623478347579,2.582768057038,1.09297708358439,2.25014053072571,0.517911807489581,2.582768057038,0.544462019284565,1.23392886721537,1.6102433771132
"Trim43a",0.393704476629293,0.632112488491951,0.66871024754005,0.182875428565212,0.539631203091947,0.0520079818226564,0.66871024754005,0.0693439757635418,0.084970481056664,0.417018119435764
"Trim46",1.722719522417,3.37345615991662,3.44728454268971,0.420067209365821,2.40418019882031,0.261386821682797,3.44728454268971,0.328773435497037,0.221336567540396,0.728350379833788
"Trim66",0.536292583665533,0.179046888403448,0.957983219514426,0.122657565389991,0.690494375352955,0.0229262327096001,0.957983219514426,0.0237293738918865,0.0235371055717298,0.340491855005976
"Trim67",0.654350241146426,1.40378030380424,1.35830517922083,0.132068428163548,0.940214299227792,0.0555815970871212,1.35830517922083,0.0681845437477103,0.12516083090676,0.215636686719342
"Trim72",0.426529744283056,0.77352764712508,0.80452288629794,0.139160482875285,0.613176733371624,0,0.80452288629794,0,0.154042445189944,0.291271100010967
"Triqk",0.607005372593268,0.433138436860464,0.847671932792574,0.374688765452275,0.752527652485766,0.163352368955698,0.847671932792574,0.152174532696753,0.373557885807729,0.642836724403449
"Trnp1",1.49800599887007,2.89122330762526,2.90515867416214,0.440899571583917,2.07676783860428,0.254715266789793,2.90515867416214,0.230939485465496,0.893614033553886,0.240137212956053
"Tro",1.77349977406149,5.38292954366833,4.24091418245087,0.0656908879216414,2.7465387618663,0,4.24091418245087,0,0.157512632757477,0.0526982085917758
"Trp53bp1",1.99823848361234,3.11788000572653,3.06892105242125,1.20134642616882,2.77017692937093,0.155318138304779,3.06892105242125,0.144134227343641,1.91868341618354,1.7526640747443
"Trp53i11",2.84733459787563,4.13083822805505,3.71252555095395,2.25073046770453,3.57002739766481,1.18080530600024,3.71252555095395,1.14693361838041,2.94777568747188,2.87824146712613
"Trp73",0.47205915394234,0.00191578279052896,0.883309237077816,0.0534474098048227,0.593449389016038,0.0207001647017195,0.883309237077816,0.0198082281352556,0.0255438909575386,0.121717946655587
"Trpc1",1.20533146057342,3.02251575847434,2.37103302479948,0.412490629113236,1.71122398729369,0.268423086567912,2.37103302479948,0.293170846315808,0.155470039687049,0.812694957896336
"Trpc3",0.595651183706682,0.356132346364975,0.950353778747295,0.255346558378432,0.759162041177933,0.0861166163253153,0.950353778747295,0.079997593730881,0.142461753100435,0.578650121233489
"Trpc4",0.25904083801942,0.0519552762773729,0.316698398959829,0.182704776978807,0.305700419536537,0.0789555984118381,0.316698398959829,0.0814778634003264,0.0826580062585052,0.404223843993286
"Trpc7",0.151990073117513,0.00527433159015624,0.188786725742327,0.101453534379881,0.185873793056523,0.0221309079033969,0.188786725742327,0.0196806072955969,0.0355688099870694,0.265465771273834
"Trpm3",0.27014518629992,0.0566100987694378,0.327458656917478,0.193304013568246,0.321123614040366,0.0765707381310726,0.327458656917478,0.0781574609516735,0.112240447469052,0.412543442807327
"Trpv1",0.211693988194371,0.0473418494158946,0.258827395795377,0.149908239196182,0.257851809003936,0.0436719462734489,0.258827395795377,0.0582292616979319,0.0525672990934598,0.357263952296804
"Trpv6",0.562825982244904,0.438714055238077,1.00487919629574,0.160515429074567,0.704417128597224,0.142422348024316,1.00487919629574,0.149897206757737,0.0943151817888134,0.239457543140516
"Tspan1",0.22193459694186,0.276599826923739,0.292096233406447,0.167376318783081,0.307607653100888,0,0.292096233406447,0,0.107759225589565,0.427844994516294
"Tspan11",0.18160974548849,0.327113040114834,0.343473801553477,0.0581666082599187,0.256591333144695,0.011786203090512,0.343473801553477,0.00588328205007085,0.0251518191615853,0.15392138881007
"Tspoap1",2.28781837622936,5.24661603541778,4.61709850515713,0.619547970816115,3.37208319879631,0.0457895289673599,4.61709850515713,0.0610527052898132,0.619746123426514,1.28954413683728
"Tspyl5",1.58565061590053,2.64399152175853,2.94258073427965,0.530629375551055,2.08828567347403,0.467989434037917,2.94258073427965,0.538755667391989,0.383102351670067,0.668404849222921
"Tssk3",0.70436150789507,1.49425646631675,1.03842544238295,0.510792435020884,1.03230159789525,0,1.03842544238295,0,0.38949619246669,1.24503959960014
"Ttbk1",1.24097161471297,4.55315813109521,3.06870971404584,0.0557240923444833,1.97059191799588,0.0625624097805117,3.06870971404584,0.06047234496855,0.0626579874748675,0.0430922940652191
"Ttc3",2.28326574697899,3.74197022449368,3.62524899182534,1.29136846742778,3.02284986269374,0.614085548142118,3.62524899182534,0.700467929075517,1.79407954727851,1.49773803359977
"Ttc39aos1",0.485825376492891,0.588293929189808,0.976120781123506,0.0696254665282182,0.671804472735481,0,0.976120781123506,0,0,0.222801492890298
"Ttc39b",1.86467289025658,0.831381895719913,1.83947888982148,1.7575562663202,2.04869056671314,1.10030153136685,1.83947888982148,1.23046002934351,2.24810752265349,1.89952049435894
"Ttc9",1.36454970598181,2.34666921574305,2.27478289619983,0.6908606032612,1.84869410250533,0.278682492982455,2.27478289619983,0.0214853823824527,1.67540697666167,0.509564494915229
"Ttc9b",2.22391376623433,4.58623620715126,4.78520438047054,0.278074783892267,3.24736626676654,0,4.78520438047054,0,0.889839308455255,0
"Ttl",2.2654271380331,3.09413283229317,3.16557451398121,1.58138639586102,2.58479748492467,1.59433510764632,3.16557451398121,1.77476273487902,1.55244599028521,1.37827519461522
"Ttll1",1.77883595541185,2.98725643884629,2.56184432219299,1.24475619490767,2.47097147258082,0.177568404055805,2.56184432219299,0.199238431699946,1.73529518881791,2.0088385168467
"Tub",1.02400865435024,4.67814937246116,2.5335628938964,0.159916284511219,1.68517683733289,0.119331330675688,2.5335628938964,0.118449656631027,0.136385592978318,0.233206929500348
