"","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"AU020206",5.21100400343084,3.32865144694549,2.39330897316173,4.38237018106695,3.30563759387306,3.86252768201602,2.39330897316173,3.85494345242581,4.79743240618115,4.60022003032212
"AW011738",8.42419999620846,3.24226432827955,4.64943596405068,2.65873110547092,4.47214426712635,1.15557841343307,4.64943596405068,1.04063092527955,2.162469828987,5.09671259818449
"Aass",2.56868262555153,0.171189928338979,0.490951547818903,0.191085098445614,0.417282493151263,0.093808549408335,0.490951547818903,0.0954372033216466,0.147569426053258,0.349378244986731
"Abca1",6.48625619815674,2.56840765741253,3.34452089059823,2.37903964596808,3.07051863152015,2.16706461380265,3.34452089059823,2.02754473635217,4.21581699490816,0.964056188567084
"Abcd2",5.3980612409127,2.9294873603254,1.60213343214593,4.39949378255585,3.00358982089197,3.34284906391416,1.60213343214593,3.48476773783962,4.64761418457093,5.24904463420023
"Abhd1",4.75596803727969,1.25976432809471,2.05815403698746,0.99819879646168,2.03569714823688,0,2.05815403698746,0,0.916299587598672,2.2779365610787
"Abhd3",5.52364040349934,1.29282269919791,2.66513797621012,0.620899044849904,2.03646856158015,0.305501003722106,2.66513797621012,0.22796327790175,1.29885023484665,0.414470775190938
"Acaa2",5.14905745084908,3.30171248354684,2.80292983109775,3.96906542535258,3.34766909797182,3.63716803570371,2.80292983109775,4.26081821793307,2.89968002284704,4.68834747676153
"Acadl",5.62858848219547,3.34251334294876,3.48047481536302,3.50755644699213,3.67652560363291,2.99549841087904,3.48047481536302,3.32153084051289,3.65591824730006,3.58242537445929
"Acot1",7.57332509108038,2.44069425162525,4.73190462429301,1.07746403047286,3.52308098442421,0.7472884462919,4.73190462429301,0.551619230878672,1.23459507601991,1.55134674443882
"Acot11",3.16155120287535,0.62469092642756,0.803635716457686,0.785221769707174,1.06144613813725,0.057829163337872,0.803635716457686,0.0622917926507953,0.312510983118469,2.12544852876353
"Acsbg1",7.5178501870152,1.2720088884432,3.07129940038136,0.478359852818803,2.26304303470009,0.10812531087973,3.07129940038136,0.0756384621386806,0.886175757420186,0.553809617033569
"Acsf2",4.10356136358985,0.976804810714676,1.18479068569922,1.18566173921259,1.17768231131991,1.20608082226908,1.18479068569922,1.30027178328443,1.33379308209773,0.899998343441256
"Acsl6",6.56808549366781,0.991819710774446,2.65146781881614,0.236660839099629,1.84590904747078,0.0371404805828684,2.65146781881614,0.0199470865705351,0.476459827047415,0.256918354186755
"Acss1",6.8721668213441,2.66375434609823,2.9736559234852,2.91864202529037,3.55076026930905,1.27659117607995,2.9736559234852,1.14493685831431,3.86698826572093,4.0987419852311
"Actr3b",4.16216840354281,0.662185477726101,1.67489989657159,0.213558226963384,1.18855245972203,0.0896720086914822,1.67489989657159,0.0871837346238615,0.197771558724279,0.380994286009917
"Adamts1",8.95971237916662,3.87158384661796,6.62460533259202,2.09870611295923,5.46802235322961,0.753410086573066,6.62460533259202,0.101618505698916,5.81406961011721,0.779847744513633
"Adamts5",3.08822922485348,0.415271649277157,1.03756905927878,0.204881112472773,0.784264174065246,0.0687816000039914,1.03756905927878,0.070993615932201,0.109564130525138,0.460863090269093
"Adcyap1r1",8.47814473924569,1.67276335046471,4.30508933020221,0.220150791792014,2.86634268206313,0.0917655357642801,4.30508933020221,0.106318962032876,0.374409133368853,0.202490645926142
"Adgrb1",6.70283203363944,1.72690064793563,4.38797262267517,0.0204540932515149,2.80092314058255,0.017321639582551,4.38797262267517,0.00876880084484057,0.0357998781509775,0.0191306592400616
"Adgrb2",7.36061553208891,1.86807834145369,4.72209186295308,0.0573836589711204,3.04670111931277,0,4.72209186295308,0,0.123641876837548,0.0599858318700372
"Adgrg1",8.87347414760423,4.25828688982224,5.98304795121279,3.32601936832826,5.69546769585035,1.45983648769044,5.98304795121279,0.022458409399588,6.97537101783076,3.64094086954016
"Adgrl1",5.76132658283123,1.30875730694997,3.36929901848393,0.0623544688429189,2.18531365338419,0.0113696732261789,3.36929901848393,0.0092671951828194,0.120764733997695,0.0676489320802618
"Adhfe1",4.78006224021424,0.936289010372445,1.24735532837308,1.14457763585212,1.29962562747864,0.898056620790858,1.24735532837308,0.806364208295899,2.19460398741272,0.500407397358978
"Adora2b",5.64582676840039,1.92513116299249,1.8907378739961,2.42031224154032,2.20712595497736,2.07981938638607,1.8907378739961,2.69074907888845,0.294724127138408,4.22137615112447
