"","astro","other"
"Ddx3y",6.44789412003358,2.8501300701735
"Dennd4c",3.91588292985618,1.9949923676094
"Dgkb",1.55983371340168,0.193446292088591
"Dhcr7",7.36541294630713,3.79708140498052
"Dhtkd1",3.45863276113534,0.531872189471173
"Dio2",9.24944966445596,1.47341701185956
"Dkk3",6.78586932473148,1.19584359419947
"Dlg5",4.65709982651076,0.810261147072929
"Dlk1",3.53434770595039,0.186666784956591
"Dmd",1.40920837681552,0.181542501679847
"Dmp1",2.40510603122359,0.247030990047533
"Dmpk",6.91571822027013,3.01278641835069
"Dmrta2",5.88007006048387,1.31827065611962
"Dmrta2os",5.09849563509553,0.634871875229236
"Dnaaf3",1.58101848338306,0.259636705468186
"Dnah14",1.41343281886026,0.159054664702726
"Dnaic1",1.50578156088664,0.159960581334864
"Dnali1",1.6080975012759,0.3047447657528
"Dock1",2.99892290201875,1.04943547222872
"Dock7",3.55389561057392,1.25333110099531
"Dpf3",2.13814072680188,0.26883155411877
"Dpy19l3",4.96180318536483,1.54127905901188
"Drp2",4.83843485321269,0.715531547095793
"Dsn1",4.74283751573097,2.24988789127825
"Dtna",5.34367554938563,0.71230051651828
"Dtx1",5.61666642324205,1.65189205053405
"Dync2h1",2.6600747346558,0.629371442450765
"Dynlrb2",1.27364481767469,0.223752980375528
"Dzip1",5.20356678630781,1.05796182835967
"Dzip1l",6.14250571969063,0.634211383534663
"E130215H24Rik",3.54335852979686,0.867236851256765
"E430024I08Rik",4.46023978415346,1.58431102390427
"E530011L22Rik",3.89547686408438,1.03779372405186
"Echdc2",5.93125838220496,0.938296594097808
"Ednrb",9.17832204645176,3.94121362596662
"Eea1",4.12071463012665,1.71482957327359
"Eepd1",4.08108800546011,1.14932922544642
"Efemp2",6.25949217593196,3.31485374369739
"Efhc1",1.45569587725674,0.348857846872217
"Efna4",4.27773202862906,0.677857649379693
"Egfl6",1.95822023626683,0.196282462045495
"Egfr",4.86573915177276,0.29928635239944
"Egln3",4.24005763668081,1.87611239919754
"Ehbp1",2.95085753293761,0.643313339975511
"Eif2ak2",4.65762541816023,2.09451952688874
"Eif2s3y",6.63942713033049,2.75820031494394
